,Mean(T) ,AAV(T),AAD(T),Variance(T),Energy(T),MCR(T),RMS(T),Skewness(T),Kurtosis(T),ZCR(T),Mean(G) ,AAV(G),AAD(G),Variance(G),Energy(G),MCR(G),RMS(G),Skewness(G),Kurtosis(G),ZCR(G),Mean(B) ,AAV(B),AAD(B),Variance(B),Energy(B),MCR(B),RMS(B),Skewness(B),Kurtosis(B),ZCR(B)
Window 1,31.872727272727275,35.06,1.0,1.4347107438016524,1017.3054545454546,5.0,31.8952,0.2938345446930948,2.004324457410434,0.0,242.72727272727272,267.0,6.3,139.83471074380165,59056.36363636364,6.0,243.0152,-0.36275595507199454,1.8742298760961043,0.0,69.18181818181819,76.1,1.0,1.966942148760331,4788.090909090909,3.0,69.196,0.4657262047370481,2.4300896829319885,0.0
Window 2,32.27272727272727,35.5,0.9,0.9256198347107439,1042.4545454545455,4.0,32.2871,0.27524756544477547,1.8784877232142845,0.0,243.0,267.3,10.5,150.1818181818182,59199.181818181816,5.0,243.3088,-0.24983892531930507,1.8929436181252162,0.0,69.36363636363636,76.3,0.9,2.2314049586776856,4813.545454545455,2.0,69.3797,0.18257418583506302,1.909711934156381,0.0
Window 3,32.13636363636363,35.35,1.2,1.322314049586777,1034.0681818181818,4.0,32.1569,-0.15564335358640402,2.130683593749998,0.0,242.54545454545453,266.8,8.9,136.79338842975207,58965.09090909091,6.0,242.8273,-0.3517263794152569,1.9128484835990596,0.0,69.18181818181819,76.1,0.9,1.966942148760331,4788.090909090909,1.0,69.196,0.46572620473704823,2.4300896829319885,0.0
Window 4,32.1,35.31,1.1600000000000001,1.4181818181818178,1031.828181818182,4.0,32.1221,-0.16471413561823856,2.003106508875741,0.0,243.63636363636363,268.0,8.2,143.1404958677686,59501.818181818184,6.0,243.9299,-0.5571581270405465,1.9354939623124532,0.0,69.0,75.9,0.9,1.2727272727272727,4762.272727272727,5.0,69.0092,0.0,2.13265306122449,0.0
Window 5,32.054545454545455,35.260000000000005,1.15,1.4479338842975202,1028.9418181818182,3.0,32.0771,-0.057503180646037856,1.909995816913743,0.0,244.54545454545453,269.0,8.0,162.97520661157026,59965.454545454544,5.0,244.8784,-0.4924061196477591,1.8426472748293534,0.0,69.0,75.9,0.9,1.2727272727272727,4762.272727272727,5.0,69.0092,0.0,2.13265306122449,0.0
Window 6,31.872727272727275,35.06,1.0,1.4347107438016524,1017.3054545454546,5.0,31.8952,0.2938345446930948,2.004324457410434,0.0,242.72727272727272,267.0,6.3,139.83471074380165,59056.36363636364,6.0,243.0152,-0.36275595507199454,1.8742298760961043,0.0,69.18181818181819,76.1,1.0,1.966942148760331,4788.090909090909,3.0,69.196,0.4657262047370481,2.4300896829319885,0.0
Window 7,31.963636363636365,35.160000000000004,1.0,1.3586776859504128,1023.0327272727274,5.0,31.9849,0.1226663423211685,2.131572673024668,0.0,245.1818181818182,269.7,7.1,103.23966942148759,60217.36363636364,6.0,245.3923,-0.6119763296127168,2.4083232673329777,0.0,69.27272727272727,76.2,1.0,2.1983471074380163,4800.909090909091,4.0,69.2886,0.3623515194249629,2.031121035671893,0.0
Window 8,32.054545454545455,35.260000000000005,1.05,1.4479338842975202,1028.9418181818182,4.0,32.0771,-0.05750318064603782,1.909995816913743,0.0,248.36363636363637,273.2,7.6,76.04958677685953,61760.545454545456,7.0,248.5167,-0.538315193660532,2.5576391617236767,0.0,69.36363636363636,76.3,1.0,2.231404958677686,4813.545454545455,4.0,69.3797,0.18257418583506302,1.9097119341563804,0.0
Window 9,31.963636363636365,35.160000000000004,1.0,1.3586776859504128,1023.0327272727274,5.0,31.9849,0.1226663423211685,2.131572673024668,0.0,245.1818181818182,269.7,7.1,103.23966942148759,60217.36363636364,6.0,245.3923,-0.6119763296127168,2.4083232673329777,0.0,69.27272727272727,76.2,1.0,2.1983471074380163,4800.909090909091,4.0,69.2886,0.3623515194249629,2.031121035671893,0.0
Window 10,32.054545454545455,35.260000000000005,1.05,1.4479338842975202,1028.9418181818182,4.0,32.0771,-0.05750318064603782,1.909995816913743,0.0,248.36363636363637,273.2,7.6,76.04958677685953,61760.545454545456,7.0,248.5167,-0.538315193660532,2.5576391617236767,0.0,69.36363636363636,76.3,1.0,2.231404958677686,4813.545454545455,4.0,69.3797,0.18257418583506302,1.9097119341563804,0.0
Window 11,32.00909090909091,35.21,1.15,1.5190082644628093,1026.1009090909092,3.0,32.0328,0.00851181954817191,1.7735314559871944,0.0,247.72727272727272,272.5,10.3,103.47107438016528,61472.27272727273,7.0,247.936,-1.0257278350279733,3.649960854964323,0.0,69.54545454545455,76.5,0.9,2.066115702479339,4838.636363636364,4.0,69.5603,-0.09107359661285204,2.1071679999999993,0.0
Window 12,31.963636363636365,35.160000000000004,1.2,1.4950413223140493,1023.169090909091,5.0,31.987,0.11441015636432107,1.837206908153171,0.0,246.36363636363637,271.0,10.1,143.14049586776858,60838.181818181816,7.0,246.654,-0.8856646550667281,2.593288552928442,0.0,69.72727272727273,76.7,0.9,1.471074380165289,4863.363636363636,4.0,69.7378,0.22738601800996464,2.125047342507255,0.0
Window 13,31.827272727272728,35.010000000000005,1.15,1.3983471074380158,1014.3736363636364,4.0,31.8492,0.407287714182964,2.156493217980317,0.0,245.0909090909091,269.6,10.0,165.35537190082644,60234.90909090909,6.0,245.428,-0.6021975675977693,1.8843018070660584,0.0,69.72727272727273,76.7,0.9,1.471074380165289,4863.363636363636,4.0,69.7378,0.22738601800996464,2.125047342507255,0.0
Window 14,31.69090909090909,34.86,1.2,0.9917355371900826,1005.3054545454546,4.0,31.7066,0.17917374162387667,2.231687083333332,0.0,244.1818181818182,268.6,10.9,164.69421487603307,59789.454545454544,5.0,244.5188,-0.4037207352206388,1.7552367064184986,0.0,69.54545454545455,76.5,0.9,2.0661157024793386,4838.636363636364,4.0,69.5603,-0.09107359661285205,2.1071680000000006,0.0
Window 15,31.645454545454548,34.81,0.9,0.8479338842975204,1002.2827272727274,5.0,31.6588,-0.05331717237920162,2.0446667350637813,0.0,243.54545454545453,267.9,10.9,160.06611570247935,59474.454545454544,5.0,243.8738,-0.2845622321094419,1.7780983796776129,0.0,69.54545454545455,76.5,0.9,2.066115702479339,4838.636363636364,4.0,69.5603,-0.09107359661285198,2.1071679999999997,0.0
Window 16,32.00909090909091,35.21,0.9399999999999998,0.9735537190082642,1025.5554545454545,3.0,32.0243,0.4579482261882131,2.2873694587528592,0.0,243.0909090909091,267.4,11.2,151.71900826446281,59244.90909090909,5.0,243.4028,-0.25763736733674336,1.8717943451519437,0.0,69.54545454545455,76.5,0.9,2.066115702479339,4838.636363636364,3.0,69.5603,-0.091073596612852,2.1071679999999997,0.0
